,RC,HOMO-alpha,LUMO-alpha,HOMO-beta,LUMO-beta,potencial,dureza
37,-1.2834,292.902609315,111.778267235,292.902609315,111.778267235,202.340438275,-90.56217104000001
38,-1.2521,293.015561025,111.414311725,293.015561025,111.414311725,202.214936375,-90.80062465
39,-1.2208,293.13478783,111.04408112,293.13478783,111.04408112,202.089434475,-91.045353355
40,-1.1895,293.279115015,110.661300325,293.279115015,110.661300325,201.97020767,-91.308907345
41,-1.1582,293.429717295,110.26596934,293.429717295,110.26596934,201.8478433175,-91.5818739775
42,-1.12689,293.59914486,109.870638355,293.59914486,109.870638355,201.7348916075,-91.86425325250002
43,-1.09559,293.781122615,109.469032275,293.781122615,109.469032275,201.62507744500002,-92.15604517
44,-1.06429,293.97565056,109.0611511,293.97565056,109.0611511,201.51840083000002,-92.45724973
45,-1.03299,294.182728695,108.653269925,294.182728695,108.653269925,201.41799931,-92.76472938499998
46,-1.00168,294.408632115,108.24538875,294.408632115,108.24538875,201.3270104325,-93.08162168249999
47,-0.97038,294.64081063000003,107.84378267,294.64081063000003,107.84378267,201.24229665000001,-93.39851398000002
48,-0.93908,294.88553933500003,107.44217659,294.88553933500003,107.44217659,201.1638579625,-93.72168137250002
49,-0.90778,295.136543135,107.046845605,295.136543135,107.046845605,201.09169437,-94.04484876500001
50,-0.87648,295.39382203,106.657789715,295.39382203,106.657789715,201.02580587250003,-94.36801615750001
51,-0.84517,295.663651115,106.27500892,295.663651115,106.27500892,200.9693300175,-94.6943210975
52,-0.81387,295.9334802,105.904778315,295.9334802,105.904778315,200.9191292575,-95.01435094250002
53,-0.78257,296.203309285,105.5470979,296.203309285,105.5470979,200.8752035925,-95.3281056925
54,-0.75127,296.47313837,105.201967675,296.47313837,105.201967675,200.8375530225,-95.63558534750001
55,-0.71997,296.742967455,104.86938764,296.742967455,104.86938764,200.8061775475,-95.93678990749999
56,-0.68867,297.01279654,104.549357795,297.01279654,104.549357795,200.7810771675,-96.23171937250001
57,-0.65737,297.27635053,104.235603045,297.27635053,104.235603045,200.7559767875,-96.5203737425
58,-0.62606,297.53990452,103.94067358,297.53990452,103.94067358,200.74028905,-96.79961546999999
59,-0.59476,297.79090832,103.658294305,297.79090832,103.658294305,200.7246013125,-97.06630700750001
60,-0.56346,298.04191212,103.382190125,298.04191212,103.382190125,200.7120511225,-97.3298609975
61,-0.53215,298.286640825,103.118636135,298.286640825,103.118636135,200.70263848000002,-97.584002345
62,-0.50085,298.51881934,102.867632335,298.51881934,102.867632335,200.6932258375,-97.8255935025
63,-0.46955,298.75099785500004,102.62290363,298.75099785500004,102.62290363,200.68695074250002,-98.06404711250002
64,-0.43824,298.97062618,102.390725115,298.97062618,102.390725115,200.6806756475,-98.2899505325
65,-0.40694,299.177704315,102.17109679,299.177704315,102.17109679,200.6744005525,-98.50330376250001
66,-0.37564,299.378507355,101.95774356,299.378507355,101.95774356,200.6681254575,-98.71038189750001
67,-0.34433,299.5730353,101.75694052,299.5730353,101.75694052,200.66498791,-98.90804739000001
68,-0.31303,299.74873796,101.56868767,299.74873796,101.56868767,200.658712815,-99.09002514500001
69,-0.28173,299.91189043,101.399260105,299.91189043,101.399260105,200.6555752675,-99.25631516250002
70,-0.25042,300.06249271,101.236107635,300.06249271,101.236107635,200.6493001725,-99.41319253750001
71,-0.21912,300.2005448,101.09178045,300.2005448,101.09178045,200.646162625,-99.554382175
72,-0.18782,300.319771605,100.96627855,300.319771605,100.96627855,200.6430250775,-99.67674652750001
73,-0.15652,300.42644822,100.85332684,300.42644822,100.85332684,200.63988753,-99.78656069
74,-0.12521,300.508024455,100.759200415,300.508024455,100.759200415,200.633612435,-99.87441202
75,-0.09391,300.5770505,100.69017437,300.5770505,100.69017437,200.63361243499997,-99.943438065
76,-0.06261,300.62725126,100.633698515,300.62725126,100.633698515,200.6304748875,-99.9967763725
77,-0.03131,300.658626735,100.608598135,300.658626735,100.608598135,200.63361243499997,-100.0250143
78,0.0,300.671176925,100.596047945,300.671176925,100.596047945,200.633612435,-100.03756449
